Date,Symbol,Open,High,Low,Close,Volume,Change_Pct,Sector,Market_Sentiment
2026-06-01,TECH_INDEX,180.23,181.96,178.8,181.24,3776283,0.56,Technology,Bullish
2026-06-02,TECH_INDEX,182.87,185.6,178.33,181.49,4805504,-0.75,Technology,Bearish
2026-06-03,TECH_INDEX,181.42,186.7,178.64,183.7,5428940,1.26,Technology,Bullish
2026-06-04,TECH_INDEX,189.73,191.96,186.03,188.1,4492787,-0.86,Technology,Bearish
2026-06-05,TECH_INDEX,185.26,188.99,184.67,188.11,5954872,1.54,Technology,Bullish
2026-06-06,TECH_INDEX,187.01,190.4,183.79,188.12,3245045,0.59,Technology,Bullish
2026-06-07,TECH_INDEX,192.12,195.8,190.93,192.66,2038859,0.28,Technology,Bullish
2026-06-08,TECH_INDEX,193.91,196.23,190.62,195.17,7156842,0.65,Technology,Bullish
2026-06-09,TECH_INDEX,195.39,198.94,191.68,194.59,2805990,-0.41,Technology,Bearish
2026-06-10,TECH_INDEX,198.9,201.29,193.62,196.54,7772639,-1.19,Technology,Bearish
2026-06-11,TECH_INDEX,194.89,196.87,193.71,195.98,4489754,0.56,Technology,Bullish
2026-06-12,TECH_INDEX,197.31,200.82,194.88,195.4,5075231,-0.97,Technology,Bearish
2026-06-13,TECH_INDEX,196.1,197.88,195.24,196.6,3863306,0.25,Technology,Bullish
2026-06-14,TECH_INDEX,195.07,196.7,190.35,192.41,6421132,-1.36,Technology,Bearish
2026-06-15,TECH_INDEX,187.87,192.59,184.48,188.69,3262476,0.44,Technology,Bullish
2026-06-16,TECH_INDEX,187.86,189.43,186.51,187.88,1758208,0.01,Technology,Bullish
2026-06-17,TECH_INDEX,186.6,188.86,185.29,185.94,3450525,-0.35,Technology,Bearish
2026-06-18,TECH_INDEX,189.77,191.11,186.39,187.32,4926169,-1.29,Technology,Bearish
2026-06-19,TECH_INDEX,188.55,189.9,183.12,185.64,6831337,-1.54,Technology,Bearish
2026-06-20,TECH_INDEX,181.14,185.76,179.54,182.71,5926140,0.87,Technology,Bullish
2026-06-21,TECH_INDEX,187.76,190.14,186.19,186.96,7347117,-0.43,Technology,Bearish
2026-06-22,TECH_INDEX,185.91,188.14,185.29,186.99,5636250,0.58,Technology,Bullish
2026-06-23,TECH_INDEX,188.82,189.38,185.71,187.75,3085470,-0.57,Technology,Bearish
2026-06-24,TECH_INDEX,185.66,186.77,182.22,184.79,4207147,-0.47,Technology,Bearish
2026-06-25,TECH_INDEX,186.64,187.62,182.5,184.02,2294314,-1.4,Technology,Bearish
2026-06-26,TECH_INDEX,187.44,191.01,183.62,184.89,6119888,-1.36,Technology,Bearish
2026-06-27,TECH_INDEX,184.5,186.94,180.51,182.6,3192966,-1.03,Technology,Bearish
2026-06-28,TECH_INDEX,181.7,187.78,178.5,184.14,5931710,1.34,Technology,Bullish
2026-06-29,TECH_INDEX,182.26,184.95,179.58,183.23,7779771,0.53,Technology,Bullish
2026-06-30,TECH_INDEX,185.41,188.64,180.66,183.09,2088979,-1.25,Technology,Bearish
2026-07-01,TECH_INDEX,180.15,185.82,177.83,182.18,1564379,1.13,Technology,Bullish
2026-07-02,TECH_INDEX,185.02,190.23,184.5,187.41,2625656,1.29,Technology,Bullish
2026-07-03,TECH_INDEX,188.25,191.17,185.5,187.96,3069885,-0.15,Technology,Bearish
2026-07-04,TECH_INDEX,187.18,188.51,184.43,185.91,6725439,-0.68,Technology,Bearish
2026-07-05,TECH_INDEX,189.46,192.93,186.09,188.56,5478160,-0.48,Technology,Bearish
2026-07-06,TECH_INDEX,183.66,187.89,182.36,186.1,3207927,1.33,Technology,Bullish
2026-07-07,TECH_INDEX,190.06,191.94,184.04,187.22,5917970,-1.49,Technology,Bearish
2026-07-08,TECH_INDEX,184.68,186.94,180.68,182.91,4947623,-0.96,Technology,Bearish
2026-07-09,TECH_INDEX,178.36,183.22,177.02,180.19,1670211,1.03,Technology,Bullish
2026-07-10,TECH_INDEX,182.14,183.26,177.95,181.27,8177500,-0.48,Technology,Bearish
2026-07-11,TECH_INDEX,186.2,188.0,183.16,183.71,7998229,-1.34,Technology,Bearish
2026-07-12,TECH_INDEX,184.3,188.61,180.91,184.73,7471066,0.23,Technology,Bullish
2026-07-13,TECH_INDEX,183.81,186.89,180.76,185.04,3718454,0.67,Technology,Bullish
2026-07-14,TECH_INDEX,182.9,187.33,179.59,184.88,6372208,1.08,Technology,Bullish
2026-07-15,TECH_INDEX,182.19,183.03,179.42,181.77,8430376,-0.23,Technology,Bearish
2026-07-16,TECH_INDEX,178.41,182.88,175.28,180.57,6685380,1.21,Technology,Bullish
2026-07-17,TECH_INDEX,181.19,184.15,178.43,180.01,3555142,-0.65,Technology,Bearish
2026-07-18,TECH_INDEX,185.11,188.45,180.15,183.25,7892683,-1.0,Technology,Bearish
2026-07-19,TECH_INDEX,184.77,187.03,181.81,184.7,6049747,-0.04,Technology,Bearish
2026-07-20,TECH_INDEX,182.09,185.38,177.71,180.88,3865966,-0.66,Technology,Bearish
2026-07-21,TECH_INDEX,181.54,183.12,179.31,182.29,1751595,0.41,Technology,Bullish
2026-07-22,TECH_INDEX,181.71,184.32,180.35,181.92,5635832,0.12,Technology,Bullish
2026-07-23,TECH_INDEX,178.0,181.45,175.03,180.82,4021334,1.58,Technology,Bullish
2026-07-24,TECH_INDEX,180.7,185.27,177.89,182.94,3010747,1.24,Technology,Bullish
2026-07-25,TECH_INDEX,186.85,187.65,185.45,186.11,5219482,-0.4,Technology,Bearish
2026-07-26,TECH_INDEX,189.27,192.0,186.35,189.03,8330964,-0.13,Technology,Bearish
2026-07-27,TECH_INDEX,187.63,189.26,184.64,187.53,3395825,-0.05,Technology,Bearish
2026-07-28,TECH_INDEX,186.98,188.12,186.4,187.35,8238538,0.2,Technology,Bullish
2026-07-29,TECH_INDEX,190.79,193.73,187.04,188.77,2713060,-1.06,Technology,Bearish
2026-07-30,TECH_INDEX,189.74,193.18,187.59,191.8,6502171,1.09,Technology,Bullish
